"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2"
21433,135,"MWI","Malawi",20,"Ntcheu",195,"TA Masasa","","","Traditional Authority","Traditional Authority"
21434,135,"MWI","Malawi",20,"Ntcheu",196,"TA Mpando","","","Traditional Authority","Traditional Authority"
21435,135,"MWI","Malawi",20,"Ntcheu",197,"TA Njolomole","","","Traditional Authority","Traditional Authority"
21436,135,"MWI","Malawi",20,"Ntcheu",198,"TA Phambala","","","Traditional Authority","Traditional Authority"
21437,135,"MWI","Malawi",21,"Ntchisi",199,"Ntchisi Boma","","","Boma","Headquarter"
21438,135,"MWI","Malawi",21,"Ntchisi",200,"SC Chilooko","","","Sub-chief","Sub-chief"
21439,135,"MWI","Malawi",21,"Ntchisi",201,"SC Nthondo","","","Sub-chief","Sub-chief"
21440,135,"MWI","Malawi",21,"Ntchisi",202,"TA Chikho","","","Traditional Authority","Traditional Authority"
21441,135,"MWI","Malawi",21,"Ntchisi",203,"TA Kalumo","","","Traditional Authority","Traditional Authority"
21442,135,"MWI","Malawi",21,"Ntchisi",204,"TA Kasakula","","","Traditional Authority","Traditional Authority"
21443,135,"MWI","Malawi",21,"Ntchisi",205,"TA Kasukula","","","Traditional Authority","Traditional Authority"
21444,135,"MWI","Malawi",22,"Phalombe",206,"Lake Chilwa","","","Water body","Water body"
21445,135,"MWI","Malawi",22,"Phalombe",207,"TA Mkhumba","","","Traditional Authority","Traditional Authority"
21446,135,"MWI","Malawi",22,"Phalombe",208,"TA Nazombe","","","Traditional Authority","Traditional Authority"
21447,135,"MWI","Malawi",23,"Rumphi",209,"Lake Malawi","","","Water body","Water body"
21448,135,"MWI","Malawi",23,"Rumphi",210,"Nyika National Park - Rumphi","","","National Park","National Park"
21449,135,"MWI","Malawi",23,"Rumphi",211,"Rumphi Boma","","","Boma","Headquarter"
21450,135,"MWI","Malawi",23,"Rumphi",212,"SC Chapinduka","","","Sub-chief","Sub-chief"
21451,135,"MWI","Malawi",23,"Rumphi",213,"SC Kachulu","","","Sub-chief","Sub-chief"
21452,135,"MWI","Malawi",23,"Rumphi",214,"SC Mwahenga","","","Sub-chief","Sub-chief"
21453,135,"MWI","Malawi",23,"Rumphi",215,"SC Mwalweni","","","Sub-chief","Sub-chief"
21454,135,"MWI","Malawi",23,"Rumphi",216,"SC Mwankhunikira","","","Sub-chief","Sub-chief"
21455,135,"MWI","Malawi",23,"Rumphi",217,"TA Chikulamayembe","","","Traditional Authority","Traditional Authority"
21456,135,"MWI","Malawi",23,"Rumphi",218,"TA Katumbi","","","Traditional Authority","Traditional Authority"
21457,135,"MWI","Malawi",23,"Rumphi",219,"TA Mwamlowe","","","Traditional Authority","Traditional Authority"
21458,135,"MWI","Malawi",23,"Rumphi",220,"Vwaza Marsh Game Reserve - Rumphi","","","Reserve","Reserve"
21459,135,"MWI","Malawi",24,"Salima",221,"Lake Malawi","","","Water body","Water body"
21460,135,"MWI","Malawi",24,"Salima",222,"Salima Town","","","Town","Town"
21461,135,"MWI","Malawi",24,"Salima",223,"SC Kambalame","","","Sub-chief","Sub-chief"
21462,135,"MWI","Malawi",24,"Salima",224,"SC Kambwiri","","","Sub-chief","Sub-chief"
21463,135,"MWI","Malawi",24,"Salima",225,"SC Mwanza","","","Sub-chief","Sub-chief"
21464,135,"MWI","Malawi",24,"Salima",226,"TA Karonga","","","Traditional Authority","Traditional Authority"
21465,135,"MWI","Malawi",24,"Salima",227,"TA Khombedza","","","Traditional Authority","Traditional Authority"
21466,135,"MWI","Malawi",24,"Salima",228,"TA Kuluunda","","","Traditional Authority","Traditional Authority"
21467,135,"MWI","Malawi",24,"Salima",229,"TA Maganga","","","Traditional Authority","Traditional Authority"
21468,135,"MWI","Malawi",24,"Salima",230,"TA Ndindi","","","Traditional Authority","Traditional Authority"
21469,135,"MWI","Malawi",24,"Salima",231,"TA Pemba","","","Traditional Authority","Traditional Authority"
21470,135,"MWI","Malawi",25,"Thyolo",232,"Luchenza Town","","","Town","Town"
21471,135,"MWI","Malawi",25,"Thyolo",233,"SC Kwethemule","","","Sub-chief","Sub-chief"
21472,135,"MWI","Malawi",25,"Thyolo",234,"SC Mbawela","","","Sub-chief","Sub-chief"
21473,135,"MWI","Malawi",25,"Thyolo",235,"SC Mphuka","","","Sub-chief","Sub-chief"
21474,135,"MWI","Malawi",25,"Thyolo",236,"SC Thukuta","","","Sub-chief","Sub-chief"
21475,135,"MWI","Malawi",25,"Thyolo",237,"TA Bvumbwe","","","Traditional Authority","Traditional Authority"
21476,135,"MWI","Malawi",25,"Thyolo",238,"TA Changata","","","Traditional Authority","Traditional Authority"
21477,135,"MWI","Malawi",25,"Thyolo",239,"TA Chimaliro","","","Traditional Authority","Traditional Authority"
21478,135,"MWI","Malawi",25,"Thyolo",240,"TA Kapichi","","","Traditional Authority","Traditional Authority"
21479,135,"MWI","Malawi",25,"Thyolo",241,"TA Nchilamwela","","","Traditional Authority","Traditional Authority"
21480,135,"MWI","Malawi",25,"Thyolo",242,"TA Nsabwe","","","Traditional Authority","Traditional Authority"
21481,135,"MWI","Malawi",25,"Thyolo",243,"TA Thomas","","","Traditional Authority","Traditional Authority"
21482,135,"MWI","Malawi",25,"Thyolo",244,"Thyolo Boma","","","Boma","Headquarter"
21483,135,"MWI","Malawi",26,"Zomba",245,"Lake Chilwa","","","Water body","Water body"
21484,135,"MWI","Malawi",26,"Zomba",246,"SC Mbiza","","","Sub-chief","Sub-chief"
21485,135,"MWI","Malawi",26,"Zomba",247,"SC Mkumbira","","","Sub-chief","Sub-chief"
21486,135,"MWI","Malawi",26,"Zomba",248,"TA Chikowi","","","Traditional Authority","Traditional Authority"
21487,135,"MWI","Malawi",26,"Zomba",249,"TA Kuntumanji","","","Traditional Authority","Traditional Authority"
21488,135,"MWI","Malawi",26,"Zomba",250,"TA Malemia","","","Traditional Authority","Traditional Authority"
21489,135,"MWI","Malawi",26,"Zomba",251,"TA Mlumbe","","","Traditional Authority","Traditional Authority"
21490,135,"MWI","Malawi",26,"Zomba",252,"TA Mwambo","","","Traditional Authority","Traditional Authority"
21491,135,"MWI","Malawi",26,"Zomba",253,"Zomba City","","","City","City"
